iter	Passed	Remaining
0	59	59207
1	59	29907
2	61	20570
3	62	15633
4	63	12628
5	63	10599
6	65	9233
7	65	8133
8	66	7289
9	66	6601
10	67	6037
11	68	5604
12	68	5231
13	69	4898
14	70	4603
15	71	4388
16	71	4154
17	72	3948
18	72	3767
19	73	3605
20	74	3462
21	74	3328
22	75	3209
23	76	3095
24	76	2990
25	77	2907
26	78	2816
27	78	2730
28	79	2656
29	79	2583
30	80	2516
31	81	2453
32	81	2392
33	82	2336
34	83	2289
35	83	2244
36	84	2200
37	85	2159
38	85	2115
39	86	2081
40	87	2039
41	87	2000
42	88	1960
43	88	1923
44	89	1888
45	89	1855
46	89	1824
47	90	1795
48	91	1768
49	91	1746
50	92	1722
51	93	1699
52	93	1674
53	94	1653
54	94	1630
55	95	1607
56	95	1585
57	96	1567
58	97	1555
59	98	1535
60	98	1515
61	99	1510
62	100	1497
63	101	1481
64	102	1468
65	102	1451
66	103	1439
67	103	1425
68	104	1408
69	105	1397
70	105	1384
71	106	1370
72	107	1360
73	107	1346
74	108	1339
75	109	1327
76	109	1317
77	110	1305
78	111	1294
79	111	1284
80	112	1275
81	113	1265
82	113	1251
83	113	1239
84	114	1233
85	115	1226
86	116	1217
87	116	1208
88	117	1201
89	118	1193
90	118	1185
91	119	1179
92	120	1171
93	120	1163
94	121	1160
95	122	1154
96	123	1146
97	123	1139
98	124	1132
99	125	1125
100	125	1117
101	126	1110
102	127	1112
103	128	1105
104	129	1099
105	129	1092
106	130	1086
107	130	1079
108	131	1072
109	131	1066
110	132	1060
111	133	1055
112	133	1049
113	134	1045
114	135	1039
115	135	1033
116	136	1028
117	136	1022
118	137	1017
119	138	1013
120	138	1007
121	139	1000
122	139	995
123	140	991
124	140	986
125	141	980
126	141	974
127	142	970
128	143	965
129	143	961
130	144	957
131	145	954
132	145	950
133	146	946
134	147	942
135	147	939
136	148	934
137	148	929
138	149	924
139	149	920
140	150	917
141	150	912
142	151	908
143	152	905
144	153	902
145	153	898
146	154	894
147	154	890
148	155	888
149	156	884
150	156	881
151	157	877
152	157	874
153	158	871
154	159	868
155	159	865
156	160	862
157	161	859
158	161	855
159	162	852
160	162	847
161	163	844
162	163	841
163	164	838
164	165	835
165	165	832
166	166	829
167	166	825
168	167	821
169	167	819
170	168	817
171	169	815
172	170	812
173	170	810
174	171	808
175	172	805
176	172	802
177	172	798
178	173	795
179	173	792
180	174	789
181	175	787
182	175	785
183	176	783
184	177	781
185	178	779
186	178	776
187	179	773
188	179	770
189	180	767
190	180	764
191	181	762
192	181	759
193	182	756
194	182	754
195	183	751
196	184	750
197	184	748
198	185	746
199	186	744
200	186	742
201	187	740
202	187	737
203	188	735
204	189	735
205	190	732
206	190	731
207	191	729
208	192	727
209	192	725
210	193	723
211	193	720
212	194	718
213	194	715
214	195	713
215	195	711
216	196	708
217	196	706
218	197	704
219	198	703
220	198	701
221	199	699
222	200	698
223	200	696
224	201	693
225	202	692
226	202	690
227	203	688
228	203	686
229	204	685
230	205	682
231	205	681
232	206	680
233	207	678
234	207	676
235	208	675
236	209	673
237	210	673
238	210	671
239	211	669
240	211	667
241	212	666
242	213	664
243	213	662
244	214	661
245	215	659
246	215	657
247	216	655
248	216	654
249	217	652
250	218	652
251	219	650
252	220	649
253	220	648
254	221	646
255	221	645
256	222	643
257	223	641
258	223	640
259	224	639
260	225	637
261	225	635
262	226	634
263	226	632
264	227	631
265	228	629
266	228	628
267	229	626
268	230	625
269	230	623
270	231	622
271	232	621
272	232	619
273	233	617
274	233	616
275	234	614
276	235	613
277	235	612
278	236	611
279	236	609
280	238	609
281	238	608
282	239	606
283	239	605
284	240	603
285	241	601
286	241	600
287	242	598
288	242	597
289	243	596
290	245	597
291	245	596
292	246	594
293	246	593
294	247	591
295	248	590
296	249	589
297	249	588
298	250	586
299	251	585
300	251	584
301	252	582
302	252	581
303	253	580
304	254	579
305	254	577
306	255	576
307	255	574
308	256	572
309	256	571
310	257	570
311	257	568
312	259	568
313	259	567
314	261	567
315	261	566
316	262	564
317	262	563
318	263	562
319	263	560
320	264	559
321	264	557
322	265	556
323	266	555
324	266	553
325	267	552
326	267	551
327	268	549
328	269	549
329	269	548
330	270	546
331	270	545
332	271	543
333	271	542
334	272	540
335	273	539
336	273	538
337	274	537
338	274	536
339	275	534
340	276	533
341	276	532
342	277	531
343	278	530
344	279	529
345	279	528
346	280	527
347	280	525
348	281	524
349	281	523
350	282	522
351	283	521
352	283	520
353	284	519
354	284	517
355	285	516
356	285	514
357	286	514
358	287	513
359	287	511
360	288	510
361	289	509
362	289	508
363	290	507
364	291	506
365	291	505
366	292	503
367	292	502
368	293	501
369	294	500
370	294	499
371	295	498
372	295	497
373	296	496
374	297	495
375	297	493
376	298	492
377	298	491
378	299	490
379	299	489
380	300	488
381	300	486
382	301	486
383	302	485
384	303	484
385	303	483
386	304	482
387	304	480
388	305	479
389	305	478
390	306	477
391	306	476
392	307	474
393	308	474
394	308	473
395	309	471
396	310	470
397	310	470
398	311	469
399	312	468
400	312	467
401	313	466
402	314	465
403	314	463
404	315	462
405	315	461
406	316	460
407	316	459
408	317	458
409	318	457
410	318	456
411	319	455
412	319	454
413	320	454
414	321	452
415	321	451
416	322	450
417	323	449
418	323	448
419	324	447
420	324	446
421	325	445
422	326	444
423	326	443
424	327	442
425	328	442
426	329	441
427	329	440
428	330	439
429	330	438
430	331	437
431	332	436
432	332	436
433	333	434
434	334	434
435	334	433
436	335	432
437	336	431
438	336	430
439	337	429
440	338	428
441	338	427
442	339	426
443	339	425
444	340	424
445	340	423
446	341	422
447	341	421
448	342	420
449	343	419
450	343	418
451	344	417
452	344	416
453	345	415
454	345	414
455	346	413
456	346	412
457	347	411
458	348	410
459	348	409
460	349	408
461	349	407
462	350	406
463	351	405
464	351	404
465	352	403
466	352	402
467	353	401
468	354	401
469	354	400
470	355	399
471	356	398
472	356	397
473	357	396
474	358	395
475	360	396
476	360	395
477	361	394
478	361	393
479	362	392
480	364	393
481	364	392
482	365	390
483	365	390
484	366	389
485	367	388
486	367	387
487	368	386
488	369	385
489	369	384
490	370	384
491	371	383
492	371	382
493	372	381
494	373	380
495	373	379
496	374	378
497	374	377
498	375	376
499	375	375
500	376	374
501	376	373
502	377	372
503	377	371
504	378	371
505	379	370
506	380	369
507	380	368
508	381	367
509	381	366
510	382	366
511	383	365
512	384	364
513	384	363
514	385	362
515	386	362
516	386	361
517	387	360
518	387	359
519	388	358
520	388	357
521	389	356
522	389	355
523	390	354
524	390	353
525	391	352
526	392	351
527	392	350
